
『仙台城』, 「伊達政宗」,【1600年、伊達政宗が青葉山に築城を開始。広瀬川を作る断崖や、渓谷に囲まれた攻めにくい城だ。天守は無かったが、豪華な本丸御殿が建っていた。その中心となる大広間は千畳敷と呼ばれ、華やかふすま絵などで飾られた、見事な部屋があった。本丸北壁の石垣は、長さ約179m、高い所で約17mもある。3回改修されていて、最も古いのは政宗が積んだもの。政宗の子供の忠宗が二の丸を作ると二の丸が政治の中心地になった。宮城県にある。】,さ行のお城,Sendai Caslte,青葉城
『赤穂城』, 「浅野長直」,【1648年から、浅野長直が現在の姿に大改修した。本丸の周りを二の丸が囲み、三の丸は二の丸と並んでいる、「変形輪郭式」と言われる城だ。天守台は築かれてが、天守の建造は行われなかった。3代赤穂藩主の浅野長矩が江戸城内で吉良義仲に斬りかかった罪で、浅野氏は断絶。その後は永井氏、本丸門などが復元されている。2002年には、旧赤穂城庭園(本丸庭園・二之丸庭園)が国の名勝になった。兵庫県にある。】,あ行お城,Ako Castle,加里谷城
『安土城』, 「織田信長」,【1576年、天下統一目前人した織田信長が、琵琶湖に突き出した高さ198mの山に築いた。日本で初めて、天守が建てられた城だ。全体が高い石垣で囲まれた城も、信長が初めて作った。天守は5重六階地下一階(5重7階とも。)歪な7角形の天守台の上に建ち、中心部には地階から三階まで吹き抜けの大きな空間があった。4重目は滋賀県にある。】,あ行お城,Azuti Castle
『上田城』, 「織田信長」,【真田幸村の父、真田昌幸が1583年に築いた。城の南側を流れる千曲川の分流が、天然の堀になっていた。徳川氏の大軍にに2度も攻められながら、撃退している。城は関ヶ原の戦いの後に壊されたが、1622年に仙石忠政が復活させて、本丸や二の丸を改修した。本丸には7つの櫓があった。西櫓が、城内で一つだけ江戸時代から解体されずに残っている。仙石氏によって建てられた二重の櫓だ。南櫓と北櫓は、明治時代に売られたが、買い戻されて復元された。1994年には、東虎口櫓門が復元されてかつての姿がよみがえっている。櫓門の脇にある真田石と呼ばれる巨大な石は、幸村の兄信之が松代へ移るときに正行の形見として持っていこうとしたが動かなかったと伝わる。周囲は上田城跡公園として整備されている。ケヤキ並木遊歩道は、二の丸の堀の跡で、秋には紅葉が美しい。】,あ行お城,Azuti Castle
